ID;ID_SETUPMETER;ID_PERIOD;ID_SETUPCONSUMER;ID_LAST_READING;READING_LAST;DATE_LAST;READING_NEXT;DATE_NEXT;KWH;CREATED;UPDATED;ID_USR;COMMENT;TRANS_WORK;ID_TURNOFF_TYPE
4386;324;1;5099;NULL;1622,0000000;NULL;1622,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;155;NULL;1;0
4387;325;1;15469;NULL;3943,0000000;NULL;4110,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;106;NULL;1;0
4388;326;1;15472;NULL;5188,0000000;NULL;5611,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;106;NULL;1;0
4389;327;1;11425;NULL;5035,0000000;NULL;5085,0000000;NULL;100,0000000;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;106;NULL;1;0
4390;328;1;5723;NULL;4349,0000000;NULL;4659,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4391;330;1;5517;NULL;192,0000000;NULL;192,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4392;331;1;5729;NULL;370,0000000;NULL;370,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4393;333;1;5433;NULL;11,0000000;NULL;11,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4394;334;1;5519;NULL;1488,0000000;NULL;1671,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4395;335;1;5835;NULL;14044,0000000;NULL;14185,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4396;336;1;18720;NULL;45221,0000000;NULL;46316,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4397;337;1;5634;NULL;122684,0000000;NULL;123460,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4398;338;1;6788;NULL;17805,0000000;NULL;18205,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
